160732, 139614
381534, 381553
707333, 93821
214936, 212339
652275, 652270
587100, 59422
65519, 12905
304930, 259970
403665, 403668
848284, 552369
676382, 676392
891065, 552932
659237, 659214
200075, 200094
151360, 117509
253969, 283910
400068, 400068
741216, 741225
317419, 244186
148656, 148685
892499, 10963
796733, 796725
220669, 220676
659083, 92119
372416, 372426
223898, 223914
694967, 694917
623041, 623054
118677, 115976
219053, 219070
377340, 368501
504927, 501331
719412, 683186
627008, 577403
431379, 431394
664828, 579595
865568, 49194
198763, 179963
766721, 766692
153527, 116480
313859, 208095
669020, 668893
393621, 390711
356103, 356168
648305, 471267
237155, 208660
345356, 193171
279632, 262826
732190, 514818
668682, 524035
880355, 579053
363851, 362279
223446, 209641
506843, 98492
111288, 107792
655438, 35512
336783, 179762
727597, 706019
472954, 38647
185318, 170897
147085, 137784
596171, 818050
321630, 209989
841058, 550898
506722, 497509
926923, 487
322997, 250305
610936, 545269
753618, 11569
729537, 518223
689573, 529009
681634, 592711
14449, 47136
761843, 344184
808461, 65682
941125, 26814
841112, 14165
70732, 24337
3087, 701978
858513, 604826
333704, 175030
517304, 361800
479159, 57702
874265, 51742
188302, 177900
888705, 30140
87773, 2149
477474, 94732
165084, 130904
59089, 9650
840499, 89196
725445, 655145
60595, 53001
178814, 166125
251412, 212090
147341, 125445
205397, 169695
866200, 52959
908310, 563457
339276, 180900
